TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,DF,CONTCODE,YEAR,VALUE,SHIPWT,FREIGHT_CHARGES
1,0106,33,5,1220,2,X,2022,2485611,0,47658
1,0106,34,5,1220,1,X,2022,4218321,0,184953
1,0106,34,6,1220,1,X,2022,774335,0,8075
1,0106,35,5,1220,1,X,2022,1016875,0,40983
1,0106,35,5,1220,2,X,2022,15578,0,1820
1,0106,38,5,1220,1,X,2022,10843584,0,259737
1,0106,38,5,1220,2,X,2022,1358296,0,59022
1,0106,39,5,1220,1,X,2022,56274797,0,1903388
1,0106,39,5,1220,2,X,2022,4947748,0,256964
1,0106,40,5,1220,1,X,2022,79193705,0,4633687
1,0106,40,5,1220,2,X,2022,3546291,0,100496
1,0106,41,5,1220,1,X,2022,249115,0,4330
1,0106,42,5,1220,1,X,2022,34136,0,588
1,0106,42,5,1220,2,X,2022,84615,0,550
1,0106,44,5,1220,1,X,2022,20344877,0,791350
1,0106,44,5,1220,2,X,2022,1051679,0,45499
1,0106,46,5,1220,1,X,2022,11547,0,456
1,0106,46,5,1220,2,X,2022,11638,0,516
1,0106,47,5,1220,1,X,2022,3459820,0,185123
1,0106,47,5,1220,2,X,2022,47445,0,324
1,0106,48,5,1220,1,X,2022,21748463,0,831430
1,0106,48,5,1220,2,X,2022,5503385,0,79764
1,0106,48,6,1220,1,X,2022,80190,0,1572
1,0106,49,5,1220,1,X,2022,97874,0,2406
1,0106,49,5,1220,2,X,2022,74449,0,691
1,0106,51,5,1220,1,X,2022,29007,0,568
1,0106,51,5,1220,2,X,2022,3297,0,75
1,0106,52,5,1220,1,X,2022,168924,0,12620
1,0106,54,5,1220,1,X,2022,2189583,0,28601
1,0106,54,5,1220,2,X,2022,270635,0,7111
1,0106,55,5,1220,1,X,2022,804617,0,1493
1,0106,56,5,1220,1,X,2022,15751291,0,214802
1,0106,56,5,1220,2,X,2022,196640,0,2317
1,0106,57,5,1220,1,X,2022,1766681,0,50224
1,0106,57,5,1220,2,X,2022,19796,0,436
1,0106,58,5,1220,1,X,2022,340278,0,1603
1,0106,58,5,1220,2,X,2022,343287,0,8341
1,0106,59,5,1220,1,X,2022,7362911,0,343652
1,0106,59,5,1220,2,X,2022,38748,0,285
1,0106,61,5,1220,1,X,2022,8194,0,176
1,0106,61,5,1220,2,X,2022,109630,0,2805
1,0106,62,5,1220,1,X,2022,35982,0,2381
1,0106,62,5,1220,2,X,2022,507821,0,15649
1,0106,63,5,1220,1,X,2022,1736259,0,29619
1,0106,63,5,1220,2,X,2022,1091567,0,32715
1,0106,64,5,1220,1,X,2022,10553,0,464
1,0106,65,5,1220,1,X,2022,21108,0,28
1,0106,65,5,1220,2,X,2022,4662,0,106
1,0106,66,5,1220,1,X,2022,32364,0,1666
1,0106,67,5,1220,1,X,2022,8458,0,156
