TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,DF,CONTCODE,YEAR,VALUE,SHIPWT,FREIGHT_CHARGES
1,AK,2408,5,CH,,2010,1,0,2022,6000,0,0
1,AK,2505,5,MX,,2010,1,0,2022,17952,0,0
1,AK,2505,8,BC,,2010,1,X,2022,3010,0,0
1,AK,2506,5,BC,,2010,1,0,2022,1880770,0,0
1,AK,2506,5,BC,,2010,2,0,2022,58407,0,0
1,AK,2506,5,QT,,2010,1,0,2022,12664,0,0
1,AK,2506,8,BC,,2010,1,X,2022,2950,0,0
1,AK,2507,5,BC,,2010,1,0,2022,31336,0,0
1,AK,2601,5,MX,,2010,1,1,2022,357155,0,0
1,AK,2601,5,SO,,2010,1,0,2022,16324,0,0
1,AK,2604,5,NL,,2010,1,0,2022,37044,0,0
1,AK,2604,5,NL,,2010,2,0,2022,10156,0,0
1,AK,2604,5,SO,,2010,1,0,2022,215454,0,0
1,AK,2604,5,SO,,2010,1,1,2022,46140,0,0
1,AK,2604,8,SO,,2010,1,X,2022,11559,0,0
1,AK,2604,8,SO,,2010,2,X,2022,5153,0,0
1,AK,29XX,3,,XC,1220,1,X,2022,3677,1,334
1,AK,3001,5,,XY,1220,1,X,2022,153839,0,5202
1,AK,3004,5,,XC,1220,1,X,2022,47986368,0,1275875
1,AK,3004,5,,XC,1220,2,X,2022,112423,0,1552
1,AK,3004,5,,XO,1220,1,X,2022,19817,0,939
1,AK,3004,5,,XY,1220,1,X,2022,635980,0,9465
1,AK,3007,5,,XC,1220,1,X,2022,65945,0,904
1,AK,3009,5,,XC,1220,1,X,2022,5990077,0,52407
1,AK,3009,5,,XC,1220,2,X,2022,162129,0,2078
1,AK,3019,5,,XC,1220,1,X,2022,3128,0,7
1,AK,3020,5,,XC,1220,1,X,2022,206023,0,394
1,AK,3023,5,,XC,1220,1,X,2022,2213590,0,29347
1,AK,30XX,1,,XC,1220,1,X,2022,14047,54431,139
1,AK,30XX,1,XX,,2010,1,1,2022,1344653,336543,0
1,AK,30XX,3,,XA,1220,1,X,2022,28678,17000,371
1,AK,30XX,3,,XC,1220,1,X,2022,156784,10868,3384
1,AK,30XX,3,,XC,1220,2,X,2022,5434,90,371
1,AK,30XX,3,,XQ,1220,1,X,2022,31899,17700,237
1,AK,3101,5,,XC,1220,1,X,2022,360594,0,7875
1,AK,3101,8,,XY,1220,1,X,2022,523470,0,17848
1,AK,3102,8,,XC,1220,1,X,2022,22790,0,678
1,AK,3103,5,,XC,1220,1,X,2022,87366548,0,920413
1,AK,3103,5,,XC,1220,2,X,2022,1076615,0,11640
1,AK,3103,5,,XY,1220,1,X,2022,115648,0,2214
1,AK,3104,5,,XC,1220,1,X,2022,4522309,0,152918
1,AK,3104,5,,XO,1220,1,X,2022,172498,0,1
1,AK,3104,5,,XY,1220,1,X,2022,10676636,0,166302
1,AK,3104,5,,XY,1220,2,X,2022,3290076,0,50435
1,AK,3104,8,,XY,1220,1,X,2022,5121,0,0
1,AK,3106,5,,XC,1220,1,X,2022,25820353,0,393450
1,AK,3106,5,,XC,1220,2,X,2022,19698,0,386
1,AK,3111,5,,XY,1220,1,X,2022,76064,0,703
1,AK,3126,5,,XC,1220,1,X,2022,70432,0,1381
1,AK,3126,5,,XY,1220,1,X,2022,11357214,0,157779
1,AK,3126,8,,XC,1220,1,X,2022,167379,0,155
